project_name,oneliner,project_namespace,project_url,topics,rubric,last_update,stargazers_count,dominating_languages,organization,languages,homepage,created,license,total_commits_last_year,last_issue_closed,issue_labels,good_first_issue,contributors,organization_avatar,funding
OpenStudio,A cross-platform collection of software tools to support whole building energy modeling using EnergyPlus and advanced daylight analysis using Radiance.,NREL,https://github.com/NREL/OpenStudio.git,,Buildings and Cities,"2021/10/14, 16:45:45",351,C++,NREL,"C++,Ruby,CMake,SWIG,JavaScript,Python,C#,Jupyter Notebook,Shell,Qt Script,Java,Batchfile,C",https://www.openstudio.net/,"2013/07/03, 19:34:37",CUSTOM,1216,"2021/10/14, 16:45:44","APIChange,component - Airflow Network,component - C#,component - CBECC,component - CLI,component - Conan,component - Documentation,component - epJSON,component - gbXML,component - Geometry Editor,component - Geometry Translator,component - HVAC,component - IDF Translation,component - Installer/Platform,component - ISO Model,component - Measure Manager,component - Measures,component - Model,component - Python bindings,component - Radiance,component - Ruby bindings,component - SketchUp,component - Standards,component - Testing,component - TimeDate,component - Utilities Geometry,component - Utilities Other,component - Version Translator,component - WorkflowJSON,component - Workspace,Developer Issue,EnergyPlus Issue,Enhancement Request,IDDChange,Performance,Pull Request - Ready for CI,Ready for Merge,resolution - Can't Reproduce,resolution - Duplicate,resolution - Unsupported,resolution - Works As Expected,severity - Blocker,severity - Major Bug,severity - Minor Bug,severity - Normal Bug,Triage",0,41,https://avatars.githubusercontent.com/u/1906800?v=4,
SEED,Standard Energy Efficiency Data Platform™ is a web-based application that helps organizations easily manage data on the energy performance of large groups of buildings.,SEED-platform,https://github.com/SEED-platform/seed.git,"energy,commercial,buildings",Buildings and Cities,"2021/10/15, 17:24:51",75,Python,SEED-platform,"Python,JavaScript,HTML,SCSS,Shell,Mustache,Dockerfile",,"2014/10/20, 04:26:53",CUSTOM,904,"2021/10/15, 17:24:48","1 Point,2 Points,3 Points,5 Points,8 Points,Admin Features,API,Backend work,BETTER,Bug,BuildingSync,Carbon metrics,Cycles,Data Analysis,Data Export,Data Import,Data Quality Checking,Database,dependencies,Django 4.0,DO NOT MERGE,Documentation,Duplicate,Enhancement,ESTCP,Feature,Filtering,GUI,Impact-1,Impact-2,Impact-3,Include Before Closure,Integration,Inventory Detail,Inventory List,Label Feature,Maintenance,Mapping,Matching/Pairing,Needs Design,Needs Discussion,No Longer Valid,Not Reproducible,Onboarding,Organizations,P-1,P-2,P-3,Performance,Public Instance,python,Reporting,stale,Testing Question,To Investigate,UBID,User Management,Verify No Longer Relevant",0,38,https://avatars.githubusercontent.com/u/7445100?v=4,
HPWHsim,An open source simulation model for Heat Pump Water Heaters (HPWH).,EcotopeResearch,https://github.com/EcotopeResearch/HPWHsim.git,,Buildings and Cities,"2021/10/06, 16:32:04",8,C++,EcotopeResearch,"C++,CMake",,"2015/12/04, 01:24:35",BSD-3-Clause,88,"2021/10/06, 16:32:00","bug,duplicate,enhancement,help wanted,invalid,question,wontfix",0,6,https://avatars.githubusercontent.com/u/10763891?v=4,
OpenStudio-ERI,Calculates an Energy Rating Index (ERI) via an OpenStudio/EnergyPlus-based workflow. Building information is provided through an HPXML file.,NREL,https://github.com/NREL/OpenStudio-ERI.git,,Buildings and Cities,"2021/10/14, 20:54:28",8,Ruby,NREL,"Ruby,Python,CSS,Batchfile,Makefile",,"2017/07/28, 17:08:03",CUSTOM,389,"2021/10/14, 20:54:27","bug,duplicate,enhancement,help wanted,invalid,priority high,priority low,priority medium,question,waiting on E+/OS,wontfix",0,13,https://avatars.githubusercontent.com/u/1906800?v=4,
OpenStudio-HPXML,Modeling of residential buildings in EnergyPlus using OpenStudio/HPXML.,NREL,https://github.com/NREL/OpenStudio-HPXML.git,,Buildings and Cities,"2021/10/15, 21:24:52",15,Ruby,NREL,"Ruby,Python",,"2018/11/02, 23:02:25",CUSTOM,1393,"2021/10/14, 18:04:30","bug,duplicate,energyplus,enhancement,good first issue,help wanted,hpxml,invalid,openstudio,performance,question,wontfix",0,9,https://avatars.githubusercontent.com/u/1906800?v=4,
AixLib,A Modelica model library for building performance simulations.,RWTH-EBC,https://github.com/RWTH-EBC/AixLib.git,,Buildings and Cities,"2021/10/06, 07:16:07",117,Modelica,RWTH-EBC,"Modelica,Python,C,HTML,CSS,JavaScript,Shell,Java,TeX,Batchfile,Makefile,C++",https://ebc-tools.eonerc.rwth-aachen.de/aixlib,"2014/07/10, 08:04:06",CUSTOM,376,"2021/09/20, 09:59:01","bug,CI,Correct HTML,development,duplicate,DymolaAutoFormat,enhancement,FastHVAC,Fluid,good first issue,hackday,hacktoberfest,help wanted,HVAC revision,IBPSA Lib integration,IBPSA Merge,IBPSA_Merge,invalid,New Model,non-backward compatible,persistent,question,ROM,SolvedInDev,Stale,Systems,unit tests,WIP,wontfix",2,52,https://avatars.githubusercontent.com/u/8121773?v=4,
TEASER,Tool for Energy Analysis and Simulation for Efficient Retrofit.,RWTH-EBC,https://github.com/RWTH-EBC/TEASER.git,"python,simulation,buildings,urban-energy-modeling",Buildings and Cities,"2021/10/07, 16:12:51",66,Python,RWTH-EBC,Python,,"2015/10/22, 13:57:56",CUSTOM,7,"2021/08/10, 06:16:49","bug,critical,Data,Docu,enhancement,GUI,hacktoberfest,help wanted,invalid,Logic,question,solved release05,SolvedInDev,wip 05,wontfix",0,15,https://avatars.githubusercontent.com/u/8121773?v=4,
tespy,"Provides a powerful simulation toolkit for thermal engineering plants such as power plants, district heating systems or heat pumps.",oemof,https://github.com/oemof/tespy.git,"thermodynamics,process-engineering,cooling,heating,energy-system,powerplant,python,simulation,exergy,refrigeration",Buildings and Cities,"2021/10/11, 02:26:42",109,Python,oemof,"Python,TeX,Batchfile",https://oemof.org,"2017/12/11, 08:44:12",MIT,410,"2021/09/29, 10:12:22","API,bug,components,core,deprecated feature,documentation,duplicate,enhancement,help wanted,question,wontfix",0,16,https://avatars.githubusercontent.com/u/8503379?v=4,
RC_BuildingSimulator,A Resistance Capacitance Model for an Energetic Simulation of a Building.,architecture-building-systems,https://github.com/architecture-building-systems/RC_BuildingSimulator.git,,Buildings and Cities,"2021/10/15, 03:03:30",49,Python,architecture-building-systems,"Python,Shell",,"2016/02/29, 13:35:47",CUSTOM,1,"2021/03/21, 01:13:21","bug,duplicate,enhancement,help wanted,invalid,question,wontfix",0,6,https://avatars.githubusercontent.com/u/8478952?v=4,
City Energy Analyst,"Helps you to analyze the effects of building retrofits, land-use planning, district heating and cooling and renewable energy on the future costs, emissions and energy consumption of neighborhoods and districts.",architecture-building-systems,https://github.com/architecture-building-systems/CityEnergyAnalyst.git,,Buildings and Cities,"2021/10/15, 11:25:18",113,Python,architecture-building-systems,"Python,Jupyter Notebook,HTML,NSIS,Shell,Batchfile,Dockerfile",,"2016/01/12, 10:02:17",MIT,260,"2021/10/14, 15:36:34","bug,documentation,easy peasy,enhancement,Epic,help wanted,Interface,known issue,Must have,plugin,Potential M.Sc Topic,question,refactoring,Research,Should have,testing,User Support,Won't have,wontfix",0,27,https://avatars.githubusercontent.com/u/8478952?v=4,
Modelica Buildings library,A free and open source library with dynamic simulation models for building energy and control systems.,lbl-srg,https://github.com/lbl-srg/modelica-buildings.git,"modelica,buildings,control,energy-efficiency",Buildings and Cities,"2021/10/16, 00:46:35",140,Modelica,lbl-srg,"Modelica,C,HTML,Python,Java,CSS,JavaScript,Batchfile,Makefile,Shell,MAXScript,CMake,TeX",,"2013/03/03, 16:36:03",MIT,442,"2021/10/15, 17:59:46","Airflow,BoundaryConditions,bug,component1,Controls,duplicate,Electrical,enhancement,ffd,Fluid,HeatTransfer,invalid,Linkage,Media,non-backward compatible,OCT,OpenBuildingControl,OpenModelica,Openstudio to Modelica,PrimarySequences,question,Rooms,spawn,Unspecified,URBANopt,Utilities,wontfix",0,37,https://avatars.githubusercontent.com/u/3753398?v=4,
StROBe,An open web tool developed at the KU Leuven Building Physics Section to model the pervasive space for residential integrated district energy assessment simulations in the openIDEAS modeling environment.,open-ideas,https://github.com/open-ideas/StROBe.git,,Buildings and Cities,"2021/08/25, 19:32:47",20,Python,open-ideas,Python,,"2013/10/01, 12:45:56",MIT,2,"2021/02/03, 14:51:47","bug,duplicate,enhancement,invalid,question,wontfix",0,9,https://avatars.githubusercontent.com/u/5467967?v=4,
Hotmaps,The open source mapping and planning tool for heating and cooling.,HotMaps,https://github.com/HotMaps/Hotmaps-toolbox-service.git,,Buildings and Cities,"2020/10/20, 12:49:38",2,Python,HotMaps,"Python,Dockerfile,Shell",,"2017/02/13, 08:46:11",Apache-2.0,0,"2021/03/31, 19:18:35","bug,dependencies,duplicate,enhancement,help wanted,invalid,question,wontfix",0,13,https://avatars.githubusercontent.com/u/25738377?v=4,
BuildSysPro,"EDF's Modelica library for buildings, districts and energy systems modeling.",EDF-TREE,https://github.com/EDF-TREE/BuildSysPro.git,,Buildings and Cities,"2021/09/24, 12:01:16",34,Modelica,EDF-TREE,"Modelica,Python,HTML,CSS,C,Java,TeX,Batchfile,Makefile,Shell",,"2016/01/29, 12:43:53",CUSTOM,2,"2020/12/08, 18:36:09","bug,duplicate,enhancement,help wanted,invalid,question,wontfix",0,6,https://avatars.githubusercontent.com/u/16956822?v=4,
obc,"Performance Evaluation, Specification, Deployment and Verification of Building Control Sequences.",lbl-srg,https://github.com/lbl-srg/obc.git,,Buildings and Cities,"2021/09/23, 20:00:33",17,HTML,lbl-srg,"HTML,Python,CSS,TeX,Modelica,Makefile",http://obc.lbl.gov,"2016/12/15, 16:22:04",CUSTOM,45,"2021/10/01, 20:45:56","bug,duplicate,enhancement,help wanted,invalid,question,wontfix",0,10,https://avatars.githubusercontent.com/u/3753398?v=4,
BuildingSystems,"The Modelica open source BuildingSystems library is developed for dynamic simulation of the energetic behavior of single rooms, buildings and whole districts.",UdK-VPT,https://github.com/UdK-VPT/BuildingSystems.git,"modelica,building,energy,simulation",Buildings and Cities,"2021/09/21, 16:30:09",47,Modelica,UdK-VPT,"Modelica,Python,HTML,JavaScript,C,CSS,Java,TeX,Batchfile,Makefile,Shell",http://modelica-buildingsystems.de/,"2015/11/09, 09:17:44",BSD-3-Clause,16,"2021/09/22, 11:19:09","bug,documentation,duplicate,enhancement,good first issue,help wanted,invalid,OpenModelica,pedantic,question,style,wiki,wontfix",0,10,https://avatars.githubusercontent.com/u/10708399?v=4,
modelica-ibpsa,A Modelica library for building and district energy systems developed within IBPSA Project 1.,ibpsa,https://github.com/ibpsa/modelica-ibpsa.git,,Buildings and Cities,"2021/10/14, 12:36:25",92,Modelica,ibpsa,"Modelica,Python,HTML,CSS,JavaScript,C,Java,TeX,Batchfile,Makefile,Shell",https://ibpsa.github.io/project1,"2013/09/21, 05:49:03",BSD-3-Clause,374,"2021/10/14, 12:36:24","bug,duplicate,enhancement,external,invalid,non-backward compatible,priority,suggestion,todo,wontfix",0,41,https://avatars.githubusercontent.com/u/16223588?v=4,
project1,Creates open source software that builds the basis of next generation computing tools for the design and operation of building and district energy and control systems.,ibpsa,https://github.com/ibpsa/project1.git,"ibpsa,modelica,bim,simulation,optimization,mpc",Buildings and Cities,"2021/10/17, 19:34:03",47,Modelica,ibpsa,"Modelica,HTML,Python,CSS,TeX,Batchfile,Jupyter Notebook,Makefile,JavaScript,SCSS,Shell",,"2016/07/29, 05:49:31",BSD-3-Clause,44,"2021/08/24, 18:51:40","bug,destest,duplicate,enhancement,help wanted,invalid,question,wontfix",0,26,https://avatars.githubusercontent.com/u/16223588?v=4,
teb,A library to calculate the urban surface energy balance at neighborhood scale assuming a simplified canyon geometry.,TEB-model,https://github.com/TEB-model/teb.git,"energy-balance-model,urban-meteorology,land-surface-model,meteorology,building-energy,energy-model,energy-consumption,energy-simulation,urban-planning,atmospheric-modelling,environmental-modelling,cmake,teb,town-energy-balance,urban-energy-budget,forecasting-model",Buildings and Cities,"2021/09/30, 08:25:38",14,Fortran,TEB-model,"Fortran,Python,TeX,CMake",,"2019/04/14, 10:30:15",BSD-3-Clause,9,"2021/07/24, 17:04:16","bug,duplicate,enhancement,good first issue,help wanted,invalid,question,wontfix",0,2,https://avatars.githubusercontent.com/u/44439852?v=4,
DHNx,This package provides an open toolbox for district heating and cooling network optimization and simulation models.,oemof,https://github.com/oemof/DHNx.git,,Buildings and Cities,"2021/09/20, 16:05:35",11,Python,oemof,Python,,"2019/06/12, 11:28:54",MIT,240,"2021/07/29, 07:35:35","bug,code improvement,documentation,duplicate,enhancement,good first issue,help wanted,invalid,optimisation,question,simulation,wontfix",0,6,https://avatars.githubusercontent.com/u/8503379?v=4,
pythermalcomfort,"Package to calculate several thermal comfort indices (e.g. PMV, PPD, SET, adaptive) and convert physical variables.",CenterForTheBuiltEnvironment,https://github.com/CenterForTheBuiltEnvironment/pythermalcomfort.git,,Buildings and Cities,"2021/10/07, 00:57:39",60,Python,CenterForTheBuiltEnvironment,"Python,Batchfile,TeX",https://pythermalcomfort.readthedocs.io/en/latest/,"2020/02/10, 18:55:51",MIT,138,"2021/10/07, 00:36:51","bug,documentation,duplicate,enhancement,good first issue,help wanted,invalid,question,wontfix",0,3,https://avatars.githubusercontent.com/u/6592546?v=4,
comfort_tool,"A web interface for comfort model calculations and visualizations according to ASHRAE Standard-55, EN Standard 16798 and ISO Standard 7730.",CenterForTheBuiltEnvironment,https://github.com/CenterForTheBuiltEnvironment/comfort_tool.git,"comfort,air-temperature,thermal-comfort,pmv-prediction,pmv",Buildings and Cities,"2021/10/04, 03:33:09",70,JavaScript,CenterForTheBuiltEnvironment,"JavaScript,HTML,CSS,Python,TeX,Dockerfile",http://comfort.cbe.berkeley.edu,"2014/09/04, 17:51:59",GPL-2.0,148,"2021/04/06, 06:37:43","bug,dependencies,duplicate,enhancement,feature-request,help wanted,invalid,javascript,python,question,wontfix",0,8,https://avatars.githubusercontent.com/u/6592546?v=4,
resstock,"Helping states, municipalities, utilities, and manufacturers identify which building stock improvements save the most energy and money.",NREL,https://github.com/NREL/resstock.git,,Buildings and Cities,"2021/10/13, 20:01:15",53,Ruby,NREL,"Ruby,Python,HTML,Jupyter Notebook,Shell",https://resstock.nrel.gov,"2016/04/11, 15:37:56",CUSTOM,1119,"2021/10/13, 20:01:12","bug,DO NOT MERGE,duplicate,enhancement,GEB,help wanted,in progress,input data,invalid,load modeling,OS-HPXML Backport,priority high,priority highest,priority low,priority lowest,priority medium,question,waiting on others,wontfix",0,22,https://avatars.githubusercontent.com/u/1906800?v=4,
DSMR-reader,Used for reading the smart meter DSMR (Dutch Smart Meter Requirements) P1 port yourself at your home.,dsmrreader,https://github.com/dsmrreader/dsmr-reader.git,"raspberry-pi,non-commercial,dsmr5,dsmr4,dsmrp1,dsmr-reader,telegram-data-storage,energy-consumption-visualizer",Buildings and Cities,"2021/10/13, 11:17:31",361,Python,dsmrreader,"Python,CSS,JavaScript,HTML,Shell",https://dsmr-reader.readthedocs.io/,"2016/02/07, 13:14:21",CUSTOM,414,"2021/10/11, 21:17:42","backwards-incompatible,bug,dependencies,question,review",0,23,https://avatars.githubusercontent.com/u/57727360?v=4,
Multiscale Solar Water Heating,Solar water heating system modeling and simulation for individual and community scale projects.,LBNL-ETA,https://github.com/LBNL-ETA/MSWH.git,,Buildings and Cities,"2021/06/28, 04:11:15",5,Jupyter Notebook,LBNL-ETA,"Jupyter Notebook,JavaScript,Python,HTML,TeX,CSS",,"2019/05/22, 21:13:45",CUSTOM,132,"2021/04/04, 21:24:17","bug,duplicate,enhancement,good first issue,help wanted,invalid,question,wontfix",0,4,https://avatars.githubusercontent.com/u/14825882?v=4,
eplusr,"Provides a rich toolkit of using whole building energy simulation program EnergyPlus directly in R, which enables programmatic navigation, modification of EnergyPlus, conducts parametric simulations and retrieves outputs.",hongyuanjia,https://github.com/hongyuanjia/eplusr.git,"energyplus,r,idf,idd,eplus,r6,parametric-simulation,epw,energyplus-models,simulation,energy-simulation",Buildings and Cities,"2021/10/08, 01:37:31",45,R,,R,https://hongyuanjia.github.io/eplusr,"2017/04/26, 15:16:34",CUSTOM,70,"2021/10/06, 11:06:36","autocomplete,bug,CI,compatibility,CRAN,deprecate,documentation,duplicate,EnergyPlus,enhancement,EPW,feature,geometry,GUI,help wanted,idd,idf,invalid,parametric,performance,question,refactor,release,run,schedule,SQL,transition,validate,wontfix",0,1,https://avatars.githubusercontent.com/u/14825882?v=4,
Brick,"An open-source effort to standardize semantic descriptions of the physical, logical and virtual assets in buildings and the relationships between them.",BrickSchema,https://github.com/BrickSchema/Brick.git,,Buildings and Cities,"2021/10/14, 14:46:36",164,Python,BrickSchema,"Python,Makefile,Shell",http://brickschema.org/,"2016/08/31, 16:11:29",CUSTOM,83,"2021/10/11, 15:55:57","Add/Amend Concepts,Alignment/Mapping,Beginner Friendly,bug,Documentation,duplicate,Examples,Ontology/OWL/RDF,question,wontfix",0,16,https://avatars.githubusercontent.com/u/41708328?v=4,
NILM,Non-Intrusive Load Monitoring is the process of estimating the energy consumed by individual appliances given just a whole-house power meter reading.,nilmtk,https://github.com/nilmtk/nilmtk.git,"disaggregation,python,nilm,energy,forecasting,algorithms,ipython-notebook,energy-disaggregation,nilmtk,nilm-algorithms",Buildings and Cities,"2021/10/14, 12:47:46",609,Python,nilmtk,"Python,Jupyter Notebook,Shell,Batchfile",http://nilmtk.github.io,"2013/12/03, 11:39:12",Apache-2.0,16,"2021/10/14, 12:47:42","bug,Building,Combinatorial Optimization,DataStore and format conversion,design,discussion,documentation,duplicate,enhancement,Good as first PR,HMM,How to,in progress,Installation,invalid,metadata,needs more info,NILM algorithm,NILM metrics,offtopic,outdated,Performance,planning,pre-processing,question,RE-API,refactoring,Review,simplify,Statistics and correlations,support,Testing,wontfix",0,29,https://avatars.githubusercontent.com/u/6094836?v=4,
volkszaehler.org,A free smart meter implementation with focus on data privacy.,volkszaehler,https://github.com/volkszaehler/volkszaehler.org.git,"smarthome,smartmeter,monitoring,volkszaehler,privacy,logging,php",Buildings and Cities,"2021/10/08, 07:44:56",155,PHP,volkszaehler,"PHP,JavaScript,CSS,Python,HTML,Shell,Dockerfile",https://volkszaehler.org,"2010/07/22, 09:35:12",GPL-3.0,24,"2021/10/11, 05:34:32","Bug,dependencies,Duplicate,Enhancement,Help Wanted,Information needed,Question,Wontfix",0,45,https://avatars.githubusercontent.com/u/340617?v=4,
ModBus Measurement Daemon,A daemon for collecting measurement data from smart meters and grid inverters over modbus.,volkszaehler,https://github.com/volkszaehler/mbmd.git,"modbus,smart-meter,openhab,golang,volkszaehler,modbus-meters,grid-inverters,sunspec",Buildings and Cities,"2021/10/13, 06:09:02",83,Go,volkszaehler,"Go,HTML,JavaScript,Dockerfile,Roff,Makefile,CSS",,"2019/05/31, 17:17:13",BSD-3-Clause,30,"2021/09/26, 17:26:13","bug,dependencies,documentation,duplicate,enhancement,help wanted,invalid,question,wontfix",0,18,https://avatars.githubusercontent.com/u/340617?v=4,
HiSim,Simulation and analysis of household scenarios using modern components as alternative to fossil fuel based ones.,FZJ-IEK3-VSA,https://github.com/FZJ-IEK3-VSA/HiSim.git,,Buildings and Cities,"2021/10/14, 14:46:57",6,Python,FZJ-IEK3-VSA,"Python,Jupyter Notebook,Makefile",,"2021/10/05, 11:08:23",MIT,12,"2021/10/06, 16:14:23","bug,documentation,duplicate,enhancement,good first issue,help wanted,invalid,question,wontfix",0,2,https://avatars.githubusercontent.com/u/28654423?v=4,
hplib,Database with efficiency parameters from public Heatpump Keymark datasets as well as parameter-sets and functions in order to simulate heat pumps.,RE-Lab-Projects,https://github.com/RE-Lab-Projects/hplib.git,"energy,simulation,heatpump",Buildings and Cities,"2021/10/11, 12:53:36",20,Python,RE-Lab-Projects,"Python,Jupyter Notebook,Shell",,"2021/04/06, 08:55:39",MIT,188,"2021/10/05, 09:50:16","bug,documentation,duplicate,enhancement,good first issue,help wanted,invalid,question,wontfix",0,3,https://avatars.githubusercontent.com/u/81230534?v=4,
Thermofeel,A library to calculate human thermal comfort indexes.,ecmwf-projects,https://github.com/ecmwf-projects/thermofeel.git,,Buildings and Cities,"2021/10/17, 22:20:41",22,Python,ecmwf-projects,Python,,"2021/06/17, 15:52:26",Apache-2.0,244,"2021/10/11, 15:45:25","bug,documentation,duplicate,enhancement,good first issue,help wanted,invalid,question,wontfix",0,4,https://avatars.githubusercontent.com/u/75486320?v=4,
stplanr,A package for sustainable transport planning with R.,ropensci,https://github.com/ropensci/stplanr.git,"r,transport,spatial,rstats,r-package,peer-reviewed,transport-planning,walking,cycling,pubic-transport,origin-destination,desire-lines,routes,routing,route-network,transportation,cycle",Mobility and Transportation,"2021/10/15, 15:19:42",357,R,ropensci,"R,C++,Makefile",https://docs.ropensci.org/stplanr,"2015/01/30, 08:34:49",CUSTOM,84,"2021/10/12, 13:02:41","bug,dependencies,duplicate,enhancement,good first issue,help wanted,invalid,Needs documentation,question,wontfix",0,25,https://avatars.githubusercontent.com/u/1200269?v=4,
CO2MPAS-TA,CO2MPAS is backward-looking longitudinal-dynamics CO2 and fuel-consumption simulator for light-duty vehicles.,JRCSTU,https://github.com/JRCSTU/CO2MPAS-TA.git,"co2,fuel-consumption,vehicle,automotive,wltp,nedc,eu,jrc,simulator",Mobility and Transportation,"2021/07/19, 00:10:56",18,Python,JRCSTU,"Python,Dockerfile,Shell,Smarty",https://co2mpas.readthedocs.io/,"2016/09/15, 12:56:52",EUPL-1.1,0,"2021/03/12, 09:36:53","domain.Legislative,domain.Modelling,domain.Software,resolve.duplicate,resolve.invalid,resolve.wontfix,tag.dice,tag.help-wanted,tag.sandbox,tag.sticky,type.bug,type.enhancement,type.question",0,10,https://avatars.githubusercontent.com/u/13638890?v=4,
The Open Charge Point Protocol,A network protocol for communication between electric vehicle chargers and a central backoffice system.,NewMotion,https://github.com/NewMotion/ocpp.git,"ocpp,scala,electric-vehicles,charging-stations,chargingstation,websocket,emobility",Mobility and Transportation,"2021/10/08, 09:39:40",126,Scala,NewMotion,Scala,,"2012/08/01, 06:14:34",GPL-3.0,3,"2021/10/08, 09:39:37","bug,duplicate,enhancement,invalid,question,wontfix",0,10,https://avatars.githubusercontent.com/u/799802?v=4,
ocpp,Python implementation of the Open Charge Point Protocol.,mobilityhouse,https://github.com/mobilityhouse/ocpp.git,"ocpp,framework,client,server,electric-vehicles",Mobility and Transportation,"2021/10/15, 11:02:52",201,Python,mobilityhouse,"Python,Makefile",,"2019/05/09, 07:25:09",MIT,28,"2021/09/28, 08:04:54","bug,duplicate,enhancement,good first issue,hacktoberfest-accepted,help wanted,hypothesis,invalid,question,wontfix",0,11,https://avatars.githubusercontent.com/u/5763064?v=4,
docile-charge-point,Scriptable OCPP charge point simulator and test tool.,NewMotion,https://github.com/NewMotion/docile-charge-point.git,"ocpp,emobility,testing,charging-station,dsl,scala",Mobility and Transportation,"2021/10/12, 20:01:53",44,Scala,NewMotion,"Scala,Dockerfile",,"2018/04/04, 15:33:31",GPL-3.0,1,"2021/10/07, 17:50:16","bug,duplicate,enhancement,good first issue,help wanted,invalid,question,wontfix",0,8,https://avatars.githubusercontent.com/u/799802?v=4,
MaaS Global,"Mobility as a Service API - data model, tests and validation.",maasglobal,https://github.com/maasglobal/maas-schemas.git,"mobility-as-a-service,mobility,transportation",Mobility and Transportation,"2021/10/01, 11:57:03",13,TypeScript,maasglobal,"TypeScript,JavaScript,Shell",https://maasglobal.github.io/,"2016/07/21, 10:39:44",MIT,167,"2021/10/01, 11:57:00","bug,dependencies,duplicate,enhancement,help wanted,invalid,Later,PR: Can be merged by the reviewer,PR: Waiting for Review,PR: WIP,question,wontfix",0,25,https://avatars.githubusercontent.com/u/17618385?v=4,
CoopCycle,A self-hosted platform to order meals in your neighborhood and get them delivered by bike couriers.,coopcycle,https://github.com/coopcycle/coopcycle-web.git,"symfony,apiplatform,coop,platformcoop",Mobility and Transportation,"2021/10/15, 11:59:48",446,PHP,coopcycle,"PHP,JavaScript,Twig,Gherkin,SCSS,CSS,Dockerfile,Shell,Makefile,HTML",https://coopcycle.org,"2016/11/29, 12:10:32",CUSTOM,2041,"2021/10/13, 12:42:28","$KLM2,$LCN,$LPAV,$MLNBK,$RAD9,$SHFT,$TRCRG,bug,COVID-19,dependencies,don't merge,enhancement,EPIC,good first issue,hacktoberfest,help wanted,javascript,loopeat,naming things is hard,off topic,performance,php,question,RFC,security,SEO,shops,technical debt,twelve-factor,UI/UX,vytal,WIP,wontfix",4,62,https://avatars.githubusercontent.com/u/24247863?v=4,
EVNotify,Allows you to monitor your electric vehicle and let you notify when the specified preset state of charge has been achieved.,EVNotify,https://github.com/EVNotify/EVNotify.git,,Mobility and Transportation,"2021/10/07, 14:14:39",136,Vue,EVNotify,"Vue,JavaScript,CSS,HTML",https://evnotify.com,"2017/06/09, 19:01:25",CUSTOM,58,"2021/08/14, 16:22:49","backlog,bug,bugfix,duplicate,enhancement,feature-request,greenkeeper,hacktoberfest,hacktoberfest-accepted,help wanted,improvement,in progress,invalid,IONIQ_BEV,more-information-needed,next,other,question,review,security,SOUL_EV,todo :spiral_notepad:,v2,wontfix",0,9,https://avatars.githubusercontent.com/u/45699245?v=4,"b'# These are supported funding model platforms\n\ngithub: GPlay97\npatreon: GPlay97\nopen_collective: # Replace with a single Open Collective username\nko_fi: # Replace with a single Ko-fi username\ntidelift: # Replace with a single Tidelift platform-name/package-name e.g., npm/babel\ncommunity_bridge: # Replace with a single Community Bridge project-name e.g., cloud-foundry\ncustom: paypal.me/GPlay97\n'"
icare,An open source carpooling platform used as a basis for our commercial product Company Carpool.,diowa,https://github.com/diowa/icare.git,"carpooling,rails,ridesharing,travel,ruby,heroku",Mobility and Transportation,"2021/10/16, 19:16:47",202,Ruby,diowa,"Ruby,Slim,JavaScript,SCSS,HTML,Handlebars,Dockerfile,Shell",https://icare.diowa.com/,"2012/08/26, 18:09:24",BSD-2-Clause,304,"2021/10/16, 19:15:38","bug,dependencies,duplicate,enhancement,invalid,javascript,question,ruby,security,wiki,wontfix",0,5,https://avatars.githubusercontent.com/u/2099801?v=4,
Carpoolear,The first Argentine Facebook app that allows the users of this social network to share car trips with other users.,STS-Rosario,https://github.com/STS-Rosario/carpoolear.git,"vuejs,frontend,carpooling,app,cordova,mobile,web",Mobility and Transportation,"2021/10/17, 07:33:04",66,Vue,STS-Rosario,"Vue,CSS,JavaScript,HTML",https://carpoolear.com.ar,"2016/12/10, 16:11:17",LGPL-3.0,0,"2021/05/08, 00:27:35","bug,dependencies,duplicate,enhancement,help wanted,invalid,question,wontfix",0,10,https://avatars.githubusercontent.com/u/24493883?v=4,
OpenEVSE,Firmware for OpenEVSE: Open Source Hardware J1772 Electric Vehicle Supply Equipment.,lincomatic,https://github.com/lincomatic/open_evse.git,,Mobility and Transportation,"2021/10/06, 10:44:19",100,C++,,"C++,Roff,C,Objective-C,Batchfile",,"2012/06/06, 00:32:19",GPL-3.0,28,"2021/08/03, 03:24:59","bug,duplicate,enhancement,invalid,question,wontfix",0,13,https://avatars.githubusercontent.com/u/24493883?v=4,
OpenEVSE WiFi gateway,Uses an ESP8266 (ESP-12) which communicates with the OpenEVSE controller via serial utilizing the existing RAPI API serial interface.,OpenEVSE,https://github.com/OpenEVSE/ESP8266_WiFi_v2.x.git,"esp8266,openevse,openenergymonitor,evse,wifi,emoncms,mqtt-client",Mobility and Transportation,"2021/10/07, 14:45:09",69,C,OpenEVSE,"C,C++,JavaScript,Python,Shell",https://openevse.openenergymonitor.org,"2017/03/02, 20:44:50",GPL-3.0,3,"2021/10/09, 23:07:23","bug,duplicate,enhancement,help wanted,High Priority,invalid,question,wontfix",0,15,https://avatars.githubusercontent.com/u/14914533?v=4,
