project_name,oneliner,git_namespace,git_url,platform,topics,rubric,last_commit_date,stargazers_count,number_of_dependents,stars_last_year,project_active,dominating_language,organization,organization_user_name,languages,homepage,refs,project_created,project_age_in_days,license,total_commits_last_year,total_number_of_commits,last_issue_closed,open_issues,closed_pullrequests,closed_issues,issues_closed_last_year,days_until_last_issue_closed,open_pullrequests,reviews_per_pr,development_distribution_score,last_released_date,last_release_tag_name,good_first_issue,contributors,accepts_donations,donation_platforms,code_of_conduct,contribution_guide,dependents_repos,organization_name,organization_github_url,organization_website,organization_location,organization_country,organization_form,organization_avatar,organization_public_repos,organization_created,organization_last_update
WHOI HABhub Data Portal,Is being developed as a data access and visualization portal for the New England Harmful Algal Bloom Observing Network.,WHOIGit,https://github.com/WHOIGit/whoi-hab-hub.git,github,,Marine Life and Fishery,"2024/02/06, 16:00:54",5,0,1,true,Python,WHOI GitHub Central,WHOIGit,"Python,HTML,Shell,JavaScript,CSS,Makefile,Batchfile,Dockerfile,SCSS",,,"2018/12/14, 18:12:29",1970,GPL-3.0,45,835,"2023/12/06, 20:32:49",6,17,36,15,152,2,0,0.016311166875784,,,0,4,false,,false,false,,,https://github.com/WHOIGit,www.whoi.edu,"Woods Hole, MA",,,https://avatars.githubusercontent.com/u/38010066?v=4,,,
nwfscSurvey,Tool to pull and process NWFSC West Coast groundfish survey data for use in PFMC groundfish stock assessments.,pfmc-assessments,https://github.com/pfmc-assessments/nwfscSurvey.git,github,,Marine Life and Fishery,"2024/05/06, 21:27:20",10,0,1,true,R,PFMC assessments,pfmc-assessments,R,http://pfmc-assessments.github.io/nwfscSurvey/,",https://zenodo.org/badge/latestdoi/26344817","2014/11/08, 00:38:17",3468,GPL-3.0,44,586,"2024/05/06, 21:27:21",31,51,97,10,0,1,0.1,0.358536585365854,"2021/02/25, 15:32:06",v2.0,0,12,false,,false,false,,,https://github.com/pfmc-assessments,,,,,https://avatars.githubusercontent.com/u/9087871?v=4,,,
ss3sim,"An R package that facilitates flexible, rapid, and reproducible fisheries stock assessment simulation testing with the widely-used Stock Synthesis statistical age-structured stock assessment framework.",ss3sim,https://github.com/ss3sim/ss3sim.git,github,"r,fisheries,stock-synthesis,simulation,r-package",Marine Life and Fishery,"2024/04/17, 16:00:20",39,2,1,true,R,,ss3sim,"R,TeX,CSS",https://ss3sim.github.io/ss3sim/,,"2013/04/04, 20:59:13",4050,CUSTOM,29,3519,"2024/04/17, 16:00:20",43,127,375,13,19,1,0.4,0.463483146067416,"2019/11/09, 07:58:43",v1.0.3,0,17,false,,false,false,"nmfs-fish-tools/SSMSE,ss3sim/ss3sim",,https://github.com/ss3sim,,,,,https://avatars.githubusercontent.com/u/6423106?v=4,,,
rfisheries,Interacting with fisheries databases at openfisheries.org.,ropensci,https://github.com/ropensci/rfisheries.git,github,"fisheries,open-data,openfisheries,r,rstats,r-package",Marine Life and Fishery,"2019/12/09, 21:25:44",25,0,1,false,R,rOpenSci,ropensci,R,https://docs.ropensci.org/rfisheries,,"2011/10/31, 18:29:04",4571,CUSTOM,0,135,"2018/01/09, 06:46:46",8,5,16,0,2309,1,0,0.122950819672131,,,0,5,false,,false,false,,,https://github.com/ropensci,https://ropensci.org/,,,,https://avatars.githubusercontent.com/u/1200269?v=4,,,
Fisheries Stock Assessment,Provides R functions to conduct typical introductory fisheries analyses.,fishR-Core-Team,https://github.com/fishR-Core-Team/FSA.git,github,"fisheries,fisheries-stock-assessment,stock-assessment,fish,population-dynamics,fisheries-management,r",Marine Life and Fishery,"2023/08/26, 18:11:16",63,0,4,true,R,fishR Core Team,fishR-Core-Team,R,https://fishr-core-team.github.io/FSA/,",https://zenodo.org/badge/latestdoi/18348400","2014/04/01, 23:19:44",3688,GPL-2.0,5,1064,"2023/08/26, 18:24:32",3,32,106,6,254,0,0.6,0.051401869158879,"2023/08/26, 18:22:20",v0.9.5,0,4,false,,true,false,,,https://github.com/fishR-Core-Team,,United States of America,,,https://avatars.githubusercontent.com/u/99483821?v=4,,,
RFishBC,Helps fisheries scientists collect measurements from calcified structures and back-calculate estimated lengths at previous ages.,fishR-Core-Team,https://github.com/fishR-Core-Team/RFishBC.git,github,"fish,fisheries,stock-assessment,population-dynamics,fisheries-stock-assessment,fisheries-management,r",Marine Life and Fishery,"2023/12/19, 23:16:30",13,0,1,true,R,fishR Core Team,fishR-Core-Team,R,https://fishr-core-team.github.io/RFishBC/,",https://doi.org/10.5281/zenodo.1218245","2018/02/11, 21:32:14",2276,GPL-2.0,18,289,"2023/12/22, 21:34:36",5,21,59,19,136,0,0.3,0,"2023/12/19, 23:27:15",v0.2.7,0,1,false,,true,false,,,https://github.com/fishR-Core-Team,,United States of America,,,https://avatars.githubusercontent.com/u/99483821?v=4,,,
fishRman,"Shiny R Dashboard to easily query, download, analyse and visualise Global Fishing Watch data on fishing effort.",Shyentist,https://github.com/Shyentist/fish-r-man.git,github,"marine-biology,fisheries,fisheries-research,fisheries-management,shiny,r,open-source,globalfishingwatch,global-fishing-watch,dashboard,fishing-effort,r-package",Marine Life and Fishery,"2024/03/27, 12:33:54",14,0,1,true,R,,,"R,TeX,CSS",https://osmos.xyz/,",https://doi.org/10.5281/zenodo.5582567,https://doi.org/10.21105/joss.03467,https://doi.org/10.21105/joss.03467**\n-,https://doi.org/10.5281/zenodo.5582567**\n-","2020/11/30, 18:00:48",1253,AGPL-3.0,9,222,"2023/11/28, 17:16:44",2,70,112,1,160,0,0,0,"2023/12/08, 12:38:30",v1.2.2,0,1,true,custom,true,false,,,,,,,,,,,
mizer,An R package to run dynamic multi-species size-spectrum models of fish communities.,sizespectrum,https://github.com/sizespectrum/mizer.git,github,"r,fisheries,ecosystem-model,fish-population-dynamics,species-interactions,marine-ecosystem,simulation,fisheries-management,population-dynamics,size-structure,transport-equation",Marine Life and Fishery,"2024/04/12, 08:56:16",34,0,6,true,R,Sizespectrum,sizespectrum,"R,TeX,C++",https://sizespectrum.org/mizer,,"2012/09/21, 08:51:19",4245,AGPL-3.0,72,1563,"2024/04/10, 20:45:50",49,107,237,11,26,0,0.4,0.195324283559578,"2023/12/08, 17:42:20",v2.5.0,0,11,false,,false,true,,,https://github.com/sizespectrum,,,,,https://avatars.githubusercontent.com/u/13071057?v=4,,,
POSEIDON,A fishery agent-based model.,poseidon-fisheries,https://github.com/poseidon-fisheries/POSEIDON.git,github,"fisheries,agent-based-modeling",Marine Life and Fishery,"2024/05/03, 14:09:19",12,0,1,true,HTML,POSEIDON,poseidon-fisheries,"HTML,Java,Python,R,Shell",,,"2015/03/30, 02:26:28",3326,AGPL-3.0,350,2500,"2023/12/06, 13:36:21",2,61,85,3,152,0,0.8,0.439640410958904,,,0,5,false,,false,false,,,https://github.com/poseidon-fisheries,https://oceanconservancy.org/sustainable-fisheries/poseidon/,,,,https://avatars.githubusercontent.com/u/52757298?v=4,,,
gfwr,R package for accessing data from Global Fishing Watch APIs.,GlobalFishingWatch,https://github.com/GlobalFishingWatch/gfwr.git,github,"r,api-wrapper,mapping,globalfishingwatch",Marine Life and Fishery,"2024/01/19, 01:00:29",56,0,17,true,R,Global Fishing Watch,GlobalFishingWatch,R,https://globalfishingwatch.github.io/gfwr/,",https://zenodo.org/badge/latestdoi/450635054","2022/01/21, 20:46:18",836,Apache-2.0,16,185,"2024/05/02, 05:25:35",17,73,121,33,4,1,0.2,0.491803278688525,"2022/09/30, 17:33:27",v1.1.0,0,5,false,,false,true,,,https://github.com/GlobalFishingWatch,http://globalfishingwatch.org,"0,0",,,https://avatars.githubusercontent.com/u/9467707?v=4,,,
r4ss,A fisheries stock assessment model written by Rick Methot.,r4ss,https://github.com/r4ss/r4ss.git,github,"stock-synthesis,fisheries,fisheries-stock-assessment,r,rstats",Marine Life and Fishery,"2024/04/25, 19:27:25",38,1,4,true,R,r4ss,r4ss,"R,HTML,Shell,Dockerfile",https://r4ss.github.io/r4ss/,",https://doi.org/10.1016/j.fishres.2021.105924","2014/05/16, 00:51:48",3644,Apache-2.0,276,3701,"2024/04/25, 19:27:26",179,409,758,110,11,4,0.6,0.381274900398406,"2022/07/29, 21:09:16",v1.46.1,0,33,false,,false,false,r4ss/r4ss,,https://github.com/r4ss,,,,,https://avatars.githubusercontent.com/u/6178431?v=4,,,
OrcaHello,A real-time AI-assisted killer whale notification system.,orcasound,https://github.com/orcasound/aifororcas-livesystem.git,github,"artificial-intelligence,audio-analysis,audio-processing,bioacoustics,deep-learning,inference,machine-learning,marine,marine-biology,neural-network,orcas,real-time,realtime,whales",Marine Life and Fishery,"2023/11/04, 19:27:42",35,0,15,true,C#,Orcasound,orcasound,"C#,CSS,Python,HTML,JavaScript,Dockerfile",http://orcahello.ai4orcas.net/,,"2020/11/08, 19:59:49",1275,MIT,3,232,"2023/11/04, 22:28:02",52,57,85,6,184,3,1.1,0.801369863013699,,,2,20,false,,false,false,,,https://github.com/orcasound,live.orcasound.net,Seattle,,,https://avatars.githubusercontent.com/u/29990731?v=4,,,
planktonr,"R package that facilitates the download, analysis and visualisation of phytoplankton and zooplankton data.",PlanktonTeam,https://github.com/PlanktonTeam/planktonr.git,github,,Marine Life and Fishery,"2024/04/10, 05:48:41",4,0,2,true,R,The Plankton Team,PlanktonTeam,"R,HTML",https://planktonteam.github.io/planktonr/,,"2021/07/12, 04:56:49",1029,CUSTOM,49,888,"2023/11/13, 22:42:35",18,148,217,10,175,0,0,0.41029207232267,,,0,2,false,,false,false,,,https://github.com/PlanktonTeam,,Australia,,,https://avatars.githubusercontent.com/u/78583612?v=4,,,
worrms,A R client for the World Register of Marine Species.,ropensci,https://github.com/ropensci/worrms.git,github,"taxonomy,marine-species,api-wrapper,biology,rstats,r,r-package,taxize,biological-data,fish,marine-biology,jerico-relevant",Marine Life and Fishery,"2024/01/15, 13:38:25",21,0,7,true,R,rOpenSci,ropensci,"R,Makefile",https://docs.ropensci.org/worrms,,"2016/12/23, 01:03:45",2692,CUSTOM,13,147,"2023/09/14, 14:13:14",3,7,41,13,235,0,0,0.122302158273381,"2020/07/08, 00:15:14",v0.4.2,0,6,false,,false,true,,,https://github.com/ropensci,https://ropensci.org/,,,,https://avatars.githubusercontent.com/u/1200269?v=4,,,
FIMS,"A software system designed and architected to support next-generation fisheries stock assessment, ecosystem, and socioeconomic modeling.",NOAA-FIMS,https://github.com/NOAA-FIMS/FIMS.git,github,,Marine Life and Fishery,"2024/02/29, 18:35:21",11,0,7,true,C++,,NOAA-FIMS,"C++,R,CMake,Shell,CSS",https://noaa-fims.github.io/FIMS/,,"2022/01/25, 19:21:58",832,GPL-3.0,373,1509,"2024/04/24, 20:54:09",96,307,478,182,12,4,2,0.70056854074542,"2023/12/15, 21:12:08",v0.2.0,0,16,false,,false,true,,,https://github.com/NOAA-FIMS,,,,,https://avatars.githubusercontent.com/u/79874876?v=4,,,
SSMSE,R package for performing Management Strategy Evaluation using Stock Synthesis.,nmfs-fish-tools,https://github.com/nmfs-fish-tools/SSMSE.git,github,stock-synthesis,Marine Life and Fishery,"2024/04/17, 18:07:59",16,0,3,true,R,,nmfs-fish-tools,"R,TeX,CSS",https://nmfs-fish-tools.github.io/SSMSE,",https://doi.org/10.21105/joss.04937,https://doi.org/10.21105/joss.04937,https://doi.org/10.21105/joss.04937","2019/07/15, 20:44:06",1757,MIT,88,836,"2024/05/02, 15:04:29",27,106,179,57,4,0,0.1,0.161458333333333,"2023/10/17, 13:32:15",v0.2.8,0,8,false,,true,true,,,https://github.com/nmfs-fish-tools,,,,,https://avatars.githubusercontent.com/u/49072821?v=4,,,
bcfishobs,Known BC Fish Observations is documented as the most current and comprehensive information source on fish presence for the province.,smnorris,https://github.com/smnorris/bcfishobs.git,github,"stream-network,fish-observations,fwa,british-columbia,fiss",Marine Life and Fishery,"2024/03/18, 16:18:59",5,0,2,true,Makefile,,,Makefile,,,"2018/05/11, 18:00:01",2187,Apache-2.0,36,160,"2024/03/04, 19:41:00",3,8,47,7,63,0,0,0,,,0,1,false,,false,false,,,,,,,,,,,
wastd,"Turtle strandings in Western Australian, as reported to the Department of Biodiversity, Conservation and Attractions.",dbca-wa,https://github.com/dbca-wa/wastd.git,github,"biodiversity,conservation-bio,marine-species,strandings,marine-wildlife-incidents,marine-turtles",Marine Life and Fishery,"2024/05/03, 07:25:27",4,0,1,true,Python,"Department of Biodiversity, Conservation and Attractions",dbca-wa,"Python,HTML,JavaScript,Dockerfile,CSS",https://dbca-wa.github.io/wastd/,,"2016/07/19, 11:08:19",2848,MIT,794,3436,"2024/05/03, 07:25:27",8,176,505,186,3,8,0,0.098694942903752,,,0,4,false,,true,false,,,https://github.com/dbca-wa,https://www.dbca.wa.gov.au/,"Perth, Western Australia",,,https://avatars.githubusercontent.com/u/16628708?v=4,,,
shadia,An R package that was designed to run dam passage performance standard models for American shad and other herrings.,danStich,https://github.com/danStich/shadia.git,github,"dam,watershed,fish-passage,shad,r,river,climate,individual-based,hydropower,fisheries,management-strategy-evaluation,herring",Marine Life and Fishery,"2023/10/30, 14:59:14",6,0,1,true,R,,,"R,C++",https://shadia-ui.github.io/index.html,,"2018/03/12, 03:25:21",2247,GPL-3.0,1,371,"2021/01/07, 12:44:16",1,15,49,0,1215,0,0,0.002985074626866,,,0,2,false,,false,false,,,,,,,,,,,
CASAL2,"Models can be used for a single population with a single anthropogenic event (in a fish population model this would be a single fishery), or for multiple species and populations, areas, and/or anthropogenic or exploitation methods, and including predator-prey interactions.",NIWAFisheriesModelling,https://github.com/NIWAFisheriesModelling/CASAL2.git,github,,Marine Life and Fishery,"2024/05/04, 10:16:08",24,0,6,true,C++,,,"C++,CMake,Roff,R,Vim Script,Python,C,Shell,Emacs Lisp,Inno Setup,Dockerfile,Tcl,Batchfile,HTML,Fortran,M4,CSS,Objective-C++,Objective-C,Cuda,Rebol,TeX",https://casal2.github.io,,"2013/07/01, 01:19:13",3963,GPL-2.0,94,3364,"2024/05/03, 08:58:10",36,60,387,7,3,0,0.3,0.659359777313848,"2022/10/10, 01:15:31",v22.10,0,20,false,,false,false,,,,,,,,,,,
etn,Provides functionality to access data from the European Tracking Network (ETN) database hosted by the Flanders Marine Institute (VLIZ) as part of the Flemish contribution to LifeWatch.,inbo,https://github.com/inbo/etn.git,github,"r,fish,animal-movement,animal-tracking,biologging,data-access,oscibio,lifewatch,r-package,rstats",Marine Life and Fishery,"2023/11/21, 14:31:27",5,0,2,true,R,Research Institute for Nature and Forest (INBO),inbo,R,https://inbo.github.io/etn/,,"2017/06/30, 15:26:34",2502,MIT,15,972,"2023/12/04, 10:07:49",59,71,227,8,154,3,2.1,0.435132032146958,"2023/11/21, 14:36:25",v2.2.0,0,6,false,,true,true,,,https://github.com/inbo,http://www.inbo.be/en,Belgium,,,https://avatars.githubusercontent.com/u/2735610?v=4,,,
OpenFish,An open-source system written in GoLang for classifying marine species.,ausocean,https://github.com/ausocean/openfish.git,github,,Marine Life and Fishery,"2024/04/04, 05:18:17",4,1,3,true,Go,AusOcean,ausocean,"Go,TypeScript,CSS,HTML",https://ausocean.github.io/openfish/,,"2023/03/03, 07:21:21",430,CUSTOM,80,86,"2024/04/04, 05:18:17",28,67,91,90,32,5,0.9,0.120481927710843,"2023/04/19, 06:03:21",v0.0.1,0,3,false,,false,false,ausocean/cloud,,https://github.com/ausocean,https://www.ausocean.org,"Adelaide, Australia",,,https://avatars.githubusercontent.com/u/52269442?v=4,,,
auk,eBird Data Extraction and Processing in R.,CornellLabofOrnithology,https://github.com/CornellLabofOrnithology/auk.git,github,"r,ebird,dataset",Terrestrial Animals,"2024/04/09, 18:19:31",128,0,16,true,R,Cornell Lab of Ornithology,CornellLabofOrnithology,R,https://CornellLabofOrnithology.github.io/auk/,,"2017/07/01, 20:28:25",2501,GPL-3.0,19,209,"2024/03/26, 15:16:39",7,5,73,7,41,0,0,0.024630541871921,"2020/10/29, 03:27:42",v0.4.2,0,5,false,,false,true,,,https://github.com/CornellLabofOrnithology,http://www.birds.cornell.edu,"Ithaca, NY",,,https://avatars.githubusercontent.com/u/1395442?v=4,,,
palmerpenguins,"The palmerpenguins data contains size measurements for three penguin species observed on three islands in the Palmer Archipelago, Antarctica.",allisonhorst,https://github.com/allisonhorst/palmerpenguins.git,github,,Terrestrial Animals,"2022/08/17, 04:59:45",847,0,90,false,R,,,"R,CSS",https://allisonhorst.github.io/palmerpenguins/,",https://doi.org/10.5281/zenodo.3960218,https://doi.org/10.1371/journal.pone.0090081,https://doi.org/10.6073/pasta/98b16d7d563f265cb52372c8ca99e60f,https://doi.org/10.6073/pasta/7fca67fb28d56ee2ffa3d9370ebda689,https://doi.org/10.6073/pasta/c14dfcfada8ea13a17536e73eb6fbe9e","2020/06/05, 14:57:15",1431,CC0-1.0,0,209,"2022/08/17, 14:54:54",15,68,83,0,628,3,0.2,0.18421052631579,"2020/07/25, 14:31:36",v0.1.0,0,5,false,,false,false,,,,,,,,,,,
phenocamr,Facilitates the retrieval and post-processing of PhenoCam time series.,bluegreen-labs,https://github.com/bluegreen-labs/phenocamr.git,github,"phenocam,phenology-modelling,phenocam-data,remote-sensing",Terrestrial Animals,"2024/02/02, 09:26:15",20,0,0,true,R,BlueGreen Labs,bluegreen-labs,"R,CSS",http://bluegreen-labs.github.io/phenocamr/,",https://doi.org/10.1111/2041-210X.12970\n\n##","2016/01/03, 11:53:00",3046,AGPL-3.0,2,293,"2023/04/28, 14:31:15",4,13,28,0,374,0,0,0.03448275862069,"2020/07/18, 10:58:07",v1.1.4,0,3,false,,false,false,,,https://github.com/bluegreen-labs,http://bluegreenlabs.org,"Melsele, Belgium",,,https://avatars.githubusercontent.com/u/65854203?v=4,,,
Annotation Interface for Data-driven Ecology,Tools for detecting wildlife in aerial images using active learning.,microsoft,https://github.com/microsoft/aerial_wildlife_detection.git,github,"aiforearth,wildlife,conservation,aerial-imagery,active-learning",Terrestrial Animals,"2022/07/26, 13:00:35",211,0,23,false,Python,Microsoft,microsoft,"Python,HTML,JavaScript,Shell,CSS,Dockerfile,PLpgSQL",,",https://arxiv.org/abs/1404.5997,https://arxiv.org/abs/1608.06993,https://arxiv.org/abs/1807.11626,https://arxiv.org/abs/1801.04381,https://arxiv.org/abs/1512.03385,https://arxiv.org/abs/1611.05431,https://arxiv.org/abs/1807.11164,https://arxiv.org/abs/1602.07360,https://arxiv.org/abs/1409.1556,https://arxiv.org/pdf/1506.01497.pdf,https://arxiv.org/abs/1901.01892,https://doi.org/10.1111/2041-210X.13489","2019/07/18, 23:58:41",1754,MIT,0,773,"2022/09/21, 16:15:20",27,15,38,0,593,3,0,0.252631578947368,"2021/11/19, 10:49:33",v2.2,0,8,false,,true,false,,,https://github.com/microsoft,https://opensource.microsoft.com,"Redmond, WA",,,https://avatars.githubusercontent.com/u/6154722?v=4,,,
bioRad,R package for analysis and visualisation of biological signals in weather radar data.,adokter,https://github.com/adokter/bioRad.git,github,"r,package,radar,aeroecology,movement-ecology,enram,nexrad,eumetnet-opera,lifewatch,wsr-88d,weather-radar,oscibio",Terrestrial Animals,"2023/12/22, 16:51:33",27,0,4,true,R,,,"R,Rez",http://adokter.github.io/bioRad,",https://doi.org/10.5281/zenodo.3370004,https://doi.org/10.1111/ecog.04028","2016/05/24, 15:49:06",2904,CUSTOM,750,2973,"2024/04/13, 20:37:53",70,269,585,105,23,3,0.9,0.589322381930185,"2023/10/20, 15:41:36",0.7.3,0,13,false,,true,true,,,,,,,,,,,
MegaDetector,Deep learning tools that accelerate the review of motion-triggered wildlife camera images.,microsoft,https://github.com/microsoft/CameraTraps.git,github,"camera-traps,wildlife,conservation,machine-learning,computer-vision,megadetector,pytorch,pytorch-wildlife",Terrestrial Animals,"2024/05/03, 18:05:30",676,4,134,true,Jupyter Notebook,Microsoft,microsoft,"Jupyter Notebook,Python,C#,Shell,HTML,Starlark,Dockerfile,Batchfile",https://cameratraps.readthedocs.io/en/latest/,,"2018/10/11, 18:02:42",2034,MIT,226,3505,"2024/04/30, 00:25:22",9,384,484,151,7,4,0.4,0.500548045305079,"2024/03/25, 05:38:30",pw_v1.0.2.4,2,34,false,,false,false,"timcogan/animalsearch,2lambda123/CameraTraps,lucasarbues/RewildingPA,microsoft/CameraTraps",,https://github.com/microsoft,https://opensource.microsoft.com,"Redmond, WA",,,https://avatars.githubusercontent.com/u/6154722?v=4,,,
ebirdst,Access and Analyze eBird Status and Trends Data.,ebird,https://github.com/ebird/ebirdst.git,github,,Terrestrial Animals,"2024/04/29, 16:22:24",14,0,6,true,R,eBird Status & Trends,ebird,"R,TeX",https://ebird.github.io/ebirdst/,",https://doi.org/10.2173/ebirdst.2022,https://doi.org/10.2173/ebirdst.2022","2023/01/17, 20:30:28",475,GPL-3.0,54,71,"2024/02/07, 17:51:36",0,6,8,7,89,0,0,0.114754098360656,,,0,4,false,,true,true,,,https://github.com/ebird,https://science.ebird.org/en/status-and-trends,United States of America,,,https://avatars.githubusercontent.com/u/3780849?v=4,,,
GeoPressureR,R package which help researchers construct the trajectory of a bird equiped with an atmospheric pressure sensor.,Rafnuss,https://github.com/Rafnuss/GeoPressureR.git,github,"r,era5,datalogger,bird,migration,windspeed,pressure-sensor,geolocator,tracker",Terrestrial Animals,"2024/04/18, 05:32:53",7,0,5,true,R,,,R,https://raphaelnussbaumer.com/GeoPressureR,",https://doi.org/10.5281/zenodo.7754457,https://doi.org/10.1111/2041-210X.14043,https://doi.org/10.1111/2041-210X.14082","2021/12/12, 16:20:00",876,GPL-3.0,283,774,"2024/03/10, 08:38:10",5,35,104,38,57,0,0,0.017687074829932,"2024/02/10, 07:03:00",v3.2.0,0,3,false,,false,true,,,,,,,,,,,
EcoAssist,An open-source application designed to streamline the work of ecologists dealing with camera trap images.,PetervanLunteren,https://github.com/PetervanLunteren/EcoAssist.git,github,"linux,macos,megadetector,python,windows,cameratraps,object-detection,yolov5,annotation-tool,deploy,machine-learning,conservation,ecology,animals,classifier-model",Terrestrial Animals,"2024/05/01, 13:18:20",96,0,56,true,Python,,,"Python,Shell,Batchfile",,",https://arxiv.org/abs/1907.06772,https://arxiv.org/abs/1907.06772","2022/01/29, 13:43:22",828,MIT,303,799,"2024/03/27, 12:17:15",7,10,37,31,40,0,0.5,0.011695906432749,"2024/04/23, 10:14:40",v5.3,0,3,true,"github,custom",true,true,,,,,,,,,,,
BirdFlowR,Predict changes in bird distributions and generate synthetic migration routes.,birdflow-science,https://github.com/birdflow-science/BirdFlowR.git,github,"bird-migration,birds,ebird,ecology,r-package",Terrestrial Animals,"2024/04/23, 20:48:04",10,0,8,true,R,The BirdFlow Project,birdflow-science,"R,JavaScript,Dockerfile",https://birdflow-science.github.io/BirdFlowR/,",https://doi.org/10.1101/2022.04.12.488057","2022/11/14, 22:04:42",539,MIT,155,283,"2024/04/23, 20:48:04",13,89,168,97,13,0,0,0.101382488479263,,,0,5,false,,false,true,,,https://github.com/birdflow-science,,,,,https://avatars.githubusercontent.com/u/107491532?v=4,,,
ABAP,Code for downloading and working with data from the African Bird Atlas Project.,AfricaBirdData,https://github.com/AfricaBirdData/ABAP.git,github,,Terrestrial Animals,"2023/10/31, 09:56:23",10,0,3,true,R,,AfricaBirdData,R,,,"2021/12/08, 12:01:55",880,CUSTOM,25,206,"2023/10/03, 12:50:08",2,32,35,3,216,0,0,0.130177514792899,"2023/09/29, 13:48:50",v0.6.0,0,4,false,,false,false,,,https://github.com/AfricaBirdData,,,,,https://avatars.githubusercontent.com/u/82078819?v=4,,,
TrapTagger,AI-Powered Camera-Trap Imagery Processing.,WildEyeConservation,https://github.com/WildEyeConservation/TrapTagger.git,github,"conservation,camera-traps,wildlife,machine-learning,computer-vision",Terrestrial Animals,"2024/05/06, 18:04:52",23,0,13,true,JavaScript,WildEye Conservation,WildEyeConservation,"JavaScript,Python,HTML,Shell,CSS,Dockerfile,Mako",,,"2022/04/08, 09:53:50",759,Apache-2.0,665,2065,"2023/02/07, 08:02:53",1,0,2,0,454,0,0,0.152286902286902,,,0,2,false,,false,false,,,https://github.com/WildEyeConservation,https://wildeyeconservation.org/,South Africa,,,https://avatars.githubusercontent.com/u/103252266?v=4,,,
ecoSecrets,An open-source web application that aims to facilitate biodiversity studies that use autonomous data collection devices such as camera traps.,naturalsolutions,https://github.com/naturalsolutions/ecoSecrets.git,github,"camera-traps,wildlife,biodiversity,python,react,data,picture,opensource",Terrestrial Animals,"2024/03/15, 10:48:54",14,0,9,true,TypeScript,Natural Solutions,naturalsolutions,"TypeScript,Python,FreeMarker,CSS,Dockerfile,HTML,Shell,JavaScript,Mako",https://demo.ecosecrets.natural-solutions.eu/,,"2023/01/10, 08:40:03",482,GPL-3.0,1,18,"2024/03/15, 10:48:54",21,40,43,43,52,7,1.2,0.277777777777778,"2024/01/06, 18:59:53",0.1.2,0,2,false,,false,false,,,https://github.com/naturalsolutions,https://natural-solutions.world,Marseille,,,https://avatars.githubusercontent.com/u/2242739?v=4,,,
Sea ice drift,Sea ice drift from Sentinel-1 SAR imagery using open source feature tracking.,nansencenter,https://github.com/nansencenter/sea_ice_drift.git,github,,Sea Ice,"2023/05/24, 07:50:34",38,0,5,true,Python,Nansen Environmental and Remote Sensing Center,nansencenter,"Python,Dockerfile",,",https://zenodo.org/badge/latestdoi/46479183","2015/11/19, 08:40:38",3091,GPL-3.0,1,225,"2020/12/07, 10:24:28",5,3,24,0,1246,0,0.333333333333333,0.026143790849673,"2018/10/05, 11:07:20",v0.7,0,4,false,,false,false,,,https://github.com/nansencenter,www.nersc.no,"Bergen, Norway",,,https://avatars.githubusercontent.com/u/5212513?v=4,,,
CICE,"A computationally efficient model for simulating the growth, melting, and movement of polar sea ice.",CICE-Consortium,https://github.com/CICE-Consortium/CICE.git,github,,Sea Ice,"2024/05/03, 18:20:56",53,0,11,true,Fortran,CICE Consortium,CICE-Consortium,"Fortran,Shell,Python,TypeScript,C,Makefile,OCaml",,,"2017/05/24, 18:02:53",2539,GPL-3.0,65,954,"2024/05/01, 19:58:40",71,551,876,133,5,1,1.8,0.607577807848444,"2023/10/31, 01:11:15",CICE6.5.0,0,19,false,,false,true,,,https://github.com/CICE-Consortium,,,,,https://avatars.githubusercontent.com/u/28584507?v=4,,,
OSSP,Open Source Algorithm for Detecting Sea Ice Surface Features in High Resolution Optical Imagery.,wrightni,https://github.com/wrightni/OSSP.git,github,,Sea Ice,"2020/10/23, 14:24:26",20,0,3,false,Python,,,Python,,,"2017/08/02, 19:16:17",2469,MIT,0,160,"2021/09/19, 00:05:51",1,3,3,0,961,0,0.333333333333333,0,"2019/11/22, 16:44:04",v2.3,0,1,false,,false,false,,,,,,,,,,,
sea-ice,Displays the monthly mean sea ice extent for the Arctic and Antarctic along with the historical median extent.,vannizhang,https://github.com/vannizhang/sea-ice.git,github,"arcgis-js-api,living-atlas,arcgis-online,esri,d3,sea-ice,visualization,arctic,antarctic",Sea Ice,"2021/12/17, 17:54:09",21,0,5,false,TypeScript,,,"TypeScript,SCSS,JavaScript,HTML",https://livingatlas.arcgis.com/sea-ice/,,"2019/07/29, 17:42:42",1743,Apache-2.0,0,63,"2022/02/26, 17:36:39",22,11,16,0,800,22,0,0.033898305084746,,,0,2,false,,false,false,,,,,,,,,,,
