project_name,oneliner,git_namespace,git_url,topics,rubric,last_update,stargazers_count,number_of_dependents,stars_last_year,project_active_checkbox,dominating_language,organization,organization_user_name,languages,homepage,created,license,total_commits_last_year,total_number_of_commits,last_issue_closed,open_issues,closed_pullrequests,closed_issues,open_pullrequests,reviews_per_pr,community_development_distribution_score,last_released_date,last_release_tag_name,good_first_issue,contributors,accepts_donations,donation_platforms,code_of_conduct,contribution_guide,organization_avatar,dependents_repos
CapacityExpansion.jl,Future energy system planning (Generation and Transmission Capacity Expansion Planning) in Julia.,YoungFaithful,https://github.com/YoungFaithful/CapacityExpansion.jl.git,"capacity-expansion-planning,energy,energy-optimization-model,julia,jump,clustering,california,germany",Energy Modeling and Optimization,"2021/10/03, 01:09:23",11,0,5,true,Julia,NREL,,"Julia,TeX",https://youngfaithful.github.io/CapacityExpansion.jl/stable,"2019/03/28, 21:02:36",MIT,1,543,"2021/04/27, 07:58:56",5,45,60,1,0.6,0.5012594458438286,"2020/09/30, 18:35:18",v0.2.2,0,3,false,,false,true,https://avatars.githubusercontent.com/u/1906800?v=4,
DPsim,A solver library for dynamic power system simulation.,sogno-platform,https://github.com/sogno-platform/dpsim.git,"simulation,real-time,dynamic-phasors,powerflow,electromagnetic-transient,power-systems,emt,quasi-stationary",Energy Modeling and Optimization,"2021/11/08, 10:49:09",23,0,17,true,C++,SOGNO,sogno-platform,"C++,CMake,Python,Shell,C,Dockerfile,HTML",https://dpsim-simulator.github.io,"2020/01/29, 08:49:59",MPL-2.0,338,3426,"2021/11/08, 10:49:04",17,34,38,7,0.6,0.5732064421669107,,,0,15,false,,false,false,https://avatars.githubusercontent.com/u/73550268?v=4,
PyPSA meets Africa,A free and open source software project aiming to develop a powerful energy system model for Africa.,pypsa-meets-africa,https://github.com/pypsa-meets-africa/pypsa-africa.git,"pypsa-africa,pypsa-meets-africa",Energy Modeling and Optimization,"2021/11/26, 17:33:24",28,0,28,true,Jupyter Notebook,,pypsa-meets-africa,"Jupyter Notebook,Python",https://pypsa-meets-africa.readthedocs.io/en/latest/index.html,"2021/02/28, 19:26:35",GPL-3.0,708,803,"2021/11/25, 19:08:47",31,67,113,0,0.5,0.6244477172312224,,,4,10,false,,false,false,https://avatars.githubusercontent.com/u/84225086?v=4,
GenX,"A highly-configurable, open source electricity resource capacity expansion model that incorporates several state-of-the-art practices in electricity system planning to offer improved decision support for a changing electricity landscape.",GenXProject,https://github.com/GenXProject/GenX.git,,Energy Modeling and Optimization,"2021/11/17, 23:56:14",80,0,80,true,Julia,,,Julia,https://genxproject.github.io/GenX/dev/,"2021/05/19, 17:57:57",GPL-2.0,269,337,"2021/11/13, 14:52:06",12,45,66,4,0.1,0.6050420168067228,"2021/08/09, 03:39:19",v0.1.0,0,11,false,,false,false,https://avatars.githubusercontent.com/u/84225086?v=4,
Open Energy Platform,"Aims to ensure quality, transparency and reproducibility in energy system research. It is a collection of various tools and information and that help working with energy-related data.",OpenEnergyPlatform,https://github.com/OpenEnergyPlatform/oeplatform.git,"oep,django,rest-api,energy,database,open-energy-family,open-data",Energy Modeling and Optimization,"2021/11/17, 11:32:38",46,0,9,true,JavaScript,OpenEnergyPlatform,Open Energy Family,"JavaScript,Python,HTML,CSS,Shell,Dockerfile,SCSS,Mako",http://openenergy-platform.org/,"2015/11/20, 14:21:02",AGPL-3.0,256,2704,"2021/09/27, 07:12:47",190,228,629,12,0.5,0.30119232763089687,"2021/09/27, 07:06:43",v0.9.4,0,28,false,,false,true,https://avatars.githubusercontent.com/u/37101913?v=4,
PyPSA,"A free software toolbox for simulating and optimizing modern power systems that include features such as conventional generators with unit commitment, variable wind and solar generation, storage units, coupling to other energy sectors, and mixed alternating and direct current networks.",PyPSA,https://github.com/PyPSA/PyPSA.git,"python,loadflow,optimisation,pyomo,energy-system,power-systems-analysis,optimal-power-flow,powerflow,energy,energy-systems,pypsa,power-flow,power-systems",Energy Modeling and Optimization,"2021/11/26, 15:10:56",563,28,139,true,Python,PyPSA,,"Python,CSS,Makefile",https://pypsa.readthedocs.io,"2016/01/11, 09:04:18",MIT,109,1141,"2021/11/22, 17:35:53",34,164,281,7,1.6,0.5955734406438632,"2021/10/15, 19:09:59",v0.18.1,0,31,false,,false,false,https://avatars.githubusercontent.com/u/32890768?v=4,"illacceptanything/illacceptanything,maxnutz/res_aut,pypsa-meets-africa/pypsa-africa,montefesp/EPIPPy,dgusain1/energysim,eh-tien/L2RPN_submission_simple,PyPSA/pypsa-eur,jnmelchorg/pyensys,martynvdijke/Stargazer,Luiz-Phillip/State_Estimation,AncillaryServicesAcquisitionModel/ASAM,ChillkroeteTTS/ccf-analysis-of-two-coupled-ou-processes,BDonnot/ChroniX2Grid,ik4o5/docker,PyPSA/whobs-server,lukasnacken/pypsa-sec-mga,mbardwell/masters-simapprox,daanbakker1995/PyPSAServerApi,FRESNA/netallocation,mbardwell/intelligent-simulation-handler,fonsp/grid-analysis,mathildebadoual/training,martynvandijke/Stargazer,openego/eGo,openego/eTraGo,openego/ding0,openego/ego.powerflow,openego/eDisGo"
oemof,"Open Energy Modelling Framework - A Python toolbox for energy system modeling and optimization. A community driven, modular, flexible and generic software project.",oemof,https://github.com/oemof/oemof.git,,Energy Modeling and Optimization,"2021/11/12, 12:22:32",41,35,15,true,Python,oemof,oemof community,"Python,Batchfile",https://oemof.org,"2016/04/20, 12:33:33",MIT,4,77,"2021/02/18, 12:31:00",30,10,66,3,0.7,0.6818181818181819,,,0,9,false,,false,true,https://avatars.githubusercontent.com/u/8503379?v=4,"illacceptanything/illacceptanything,znes/oemof-barbados,oemof-heat/educational_project,rl-institut/oemof-B3,brizett/reegis_hp,znes/HESYSOPT,oemof-heat/energy-system-planning-workshop,greco-project/pvcompare,FlexiGIS/FlexiGIS,znes/angus-scenarios,jakob-wo/CoolProp_Examples,modex-flexmex/oemof-flexmex,rl-institut/smooth,oemof/oemof-thermal,oemof/oemof-db,open-fred/cli,binduvr/LOGiC,rl-institut/multi-vector-simulator,smartie2076/oemof_workshop,rl-institut/workshop,rl-institut/offgridders,rl-institut/WAM_APP_vdi,oemof-heat/released_examples,oemof/oemof-tabular,rl-institut/WAM_APP_stemp_abw,uvchik/reegis_phd,gplssm/elesplan_m_EMP-2018,reegis/berlin_hp,windnode/WindNODE_ABW,reegis/deflex,rl-institut/appBBB,rl-institut/smenos,windnode/WindNODE_KWUM,gplssm/europepstrans,reegis/reegis"
pyGRETA,Python Generator of REnewable Time series and mAps: a tool that generates high-resolution potential maps and time series for user-defined regions within the globe.,tum-ens,https://github.com/tum-ens/pyGRETA.git,"renewable-energy,renewable-timeseries,potentials,wind,pv,csp,gis,high-resolution",Energy Modeling and Optimization,"2021/11/26, 13:23:11",22,0,4,true,Python,tum-ens,Chair of Renewable and Sustainable Energy Systems,Python,,"2019/03/08, 17:08:33",GPL-3.0,123,848,"2021/10/11, 10:38:26",6,127,179,1,0.2,0.5158730158730158,"2021/09/29, 08:52:40",v2.0.0,0,7,false,,false,false,https://avatars.githubusercontent.com/u/8157454?v=4,
RESKit,A toolkit to help generate renewable energy generation time series for energy systems analysis.,FZJ-IEK3-VSA,https://github.com/FZJ-IEK3-VSA/RESKit.git,,Energy Modeling and Optimization,"2021/08/13, 06:12:46",13,0,5,true,Python,FZJ-IEK3-VSA,FZJ-IEK3,Python,,"2020/01/03, 14:15:33",MIT,13,449,"2020/07/09, 09:06:28",5,10,22,1,0.5,0.0730337078651685,"2021/08/13, 06:17:41",v0.3.0,0,10,false,,false,false,https://avatars.githubusercontent.com/u/28654423?v=4,
PowSyBl,"An open source framework written in Java, that makes it easy to write complex software for power systems simulations and analysis.",powsybl,https://github.com/powsybl/powsybl-core.git,"powsybl,power-systems,power-system-simulation,energy-system,modular,extensible,cim,java,groovy",Energy Modeling and Optimization,"2021/11/26, 13:30:13",78,1,17,true,Java,powsybl,powsybl,"Java,Groovy,Shell,Batchfile,JavaScript",https://www.powsybl.org,"2017/09/29, 14:51:18",MPL-2.0,273,2344,"2021/11/26, 13:31:47",202,1554,1707,32,2.6,0.7259725400457666,"2021/11/18, 13:43:09",v4.5.1,13,56,false,,false,false,https://avatars.githubusercontent.com/u/29916668?v=4,gridsuite/dependencies
PowSyBl Open Load Flow,An open source implementation of the load flow API that can be found in PowSyBl Core. It supports AC Newtow-Raphson and linear DC calculation methods.,powsybl,https://github.com/powsybl/powsybl-open-loadflow.git,"powsybl,klu,power-systems,power-system-simulation,energy-system,java,load-flow,power-flow,loadflow,powerflow",Energy Modeling and Optimization,"2021/11/26, 13:18:00",11,15,5,true,Java,powsybl,powsybl,Java,,"2019/10/01, 13:48:47",MPL-2.0,172,330,"2021/11/26, 13:17:57",34,332,354,14,0.3,0.48765432098765427,"2021/11/17, 15:42:57",v0.14.0,0,18,false,,false,false,https://avatars.githubusercontent.com/u/29916668?v=4,"farao-community/gridcapa-cse,farao-community/farao-parent,cesar-luis-galli/powsybl-incubator,gridsuite/security-analysis-server,gridsuite/merge-orchestrator-server,powsybl/powsybl-tutorials,geofjamg/pypowsybl,powsybl/pypowsybl,gridsuite/dependencies,gridsuite/case-validation-server,gridsuite/balances-adjustment-server,powsybl/powsybl-distribution,gridsuite/loadflow-server,powsybl/powsybl-balances-adjustment,powsybl/powsybl-incubator"
matpower,"A package of M-files for solving power flow, continuation power flow and optimal power flow problems using MATLAB or Octave.",MATPOWER,https://github.com/MATPOWER/matpower.git,"matpower,matpower-github",Energy Modeling and Optimization,"2021/11/23, 01:23:03",233,0,52,true,MATLAB,MATPOWER Development,MATPOWER,"MATLAB,TeX,Python,Dockerfile,M,Shell",https://matpower.org,"2016/12/16, 19:12:30",CUSTOM,69,2203,"2021/11/22, 16:18:39",10,30,122,2,0.2,0.017029328287606393,"2020/10/08, 23:57:49",7.1,0,8,false,,false,true,https://avatars.githubusercontent.com/u/22669039?v=4,
energyRt,Making Energy Systems Modeling as simple as a linear regression in R.,energyRt,https://github.com/energyRt/energyRt.git,"energy-models,gams,glpk,pyomo,julia",Energy Modeling and Optimization,"2021/06/30, 14:16:32",16,0,1,true,R,MATPOWER Development,,"R,Python,GAMS,Julia,AMPL",http://www.energyRt.org,"2016/03/17, 16:08:29",AGPL-3.0,47,1295,"2021/09/29, 12:03:50",0,24,29,0,0.0,0.1785407725321888,"2020/01/17, 08:33:17",0.01.04.9000,0,5,false,,false,false,https://avatars.githubusercontent.com/u/22669039?v=4,
MVS,"The multi-vector simulator allows the evaluation of local sector-coupled energy systems that include the energy carriers electricity, heat and/or gas.",rl-institut,https://github.com/rl-institut/multi-vector-simulator.git,,Energy Modeling and Optimization,"2021/11/09, 14:36:09",15,1,5,true,Python,Reiner Lemoine Institut,rl-institut,"Python,CSS",,"2019/07/29, 14:57:11",GPL-2.0,992,4879,"2021/09/29, 13:27:09",124,455,804,5,1.2,0.6542608695652175,"2021/05/31, 15:11:08",v1.0.0,3,11,false,,false,true,https://avatars.githubusercontent.com/u/18393972?v=4,rl-institut/mvs_eland_api
PowNet,A least-cost optimization model for simulating the Unit Commitment and Economic Dispatch of large-scale (regional to country) power systems.,kamal0013,https://github.com/kamal0013/PowNet.git,"power-system-analysis,unit-commitment,economic-dispatch,transmission,dc-flow,n-1-criterion,water-energy-nexus,python,dispatchable-units,renewable-resources,electricity-supply,substations",Energy Modeling and Optimization,"2021/11/17, 14:28:12",30,0,13,true,Jupyter Notebook,Reiner Lemoine Institut,,"Jupyter Notebook,Python",,"2019/09/27, 03:03:01",MIT,35,93,"2021/04/13, 12:33:19",0,0,4,0,0,0.30107526881720426,"2020/09/09, 05:31:19",v1.2,0,2,false,,false,false,https://avatars.githubusercontent.com/u/18393972?v=4,
pyam,"A Python package for data-wrangling, analysis and visualization of integrated-assessment scenarios and energy systems modeling results.",IAMconsortium,https://github.com/IAMconsortium/pyam.git,"integrated-assessment,scenario,analysis,iamc-format,visualization,macro-energy,energy-systems,modeling,timeseries-format,integrated-assessment-scenarios,scenario-data,pyam",Energy Modeling and Optimization,"2021/11/25, 01:14:14",115,0,51,true,Python,Integrated Assessment Modeling Consortium (IAMC),IAMconsortium,"Python,TeX,Jupyter Notebook,Makefile,Batchfile",https://pyam-iamc.readthedocs.io/,"2017/12/06, 19:35:45",Apache-2.0,95,482,"2021/11/24, 13:51:17",49,413,541,2,2.3,0.36708860759493667,"2021/10/21, 13:28:13",v1.2.0,2,25,false,,false,true,https://avatars.githubusercontent.com/u/19565808?v=4,
RAMP,"A bottom-up stochastic model for the generation of high-resolution multi-energy profiles, conceived for application in contexts where only rough information about users' behaviour are obtainable.",RAMP-project,https://github.com/RAMP-project/RAMP.git,,Energy Modeling and Optimization,"2021/11/25, 13:30:33",21,0,16,true,Python,RAMP-project,RAMP,Python,,"2019/02/20, 17:02:32",EUPL-1.2,44,147,"2021/07/23, 08:32:52",5,14,22,0,0.0,0.2666666666666667,"2021/06/23, 10:55:45",v0.3.1,0,4,false,,false,true,https://avatars.githubusercontent.com/u/65850039?v=4,
POMATO,An easy to use tool for the comprehensive analysis of the modern electricity market.,richard-weinhold,https://github.com/richard-weinhold/pomato.git,,Energy Modeling and Optimization,"2021/10/31, 18:08:18",30,0,15,true,Python,RAMP-project,,"Python,Julia",,"2020/05/12, 14:42:17",CUSTOM,137,420,"2021/07/23, 08:32:52",3,0,0,0,0,0.022332506203473934,"2021/06/15, 20:21:21",v0.4,0,2,false,,false,false,https://avatars.githubusercontent.com/u/65850039?v=4,
USelectricity,Forecast the US demand for electricity.,RamiKrispin,https://github.com/RamiKrispin/USelectricity.git,,Energy Modeling and Optimization,"2021/11/21, 07:27:58",69,0,69,true,R,RAMP-project,,"R,Shell,Dockerfile",https://ramikrispin.github.io/USelectricity/,"2021/01/14, 13:03:45",CUSTOM,5883,5928,"2021/07/23, 08:32:52",1,0,0,0,0,0.0,,,0,1,false,,false,false,https://avatars.githubusercontent.com/u/65850039?v=4,
reV,"Enables the efficient and scalable computation of renewable energy generation, levelized cost of energy, application of geospatial exclusion layers, and generation of renewable energy supply curves.",NREL,https://github.com/NREL/reV.git,,Energy Modeling and Optimization,"2021/11/15, 22:00:01",34,1,16,true,Python,NREL,National Renewable Energy Laboratory,"Python,Tcl,Shell,Dockerfile",https://nrel.github.io/reV/,"2019/08/08, 21:54:39",BSD-3-Clause,385,2228,"2021/11/10, 16:27:48",10,177,328,0,2.3,0.4961154273029966,"2021/11/10, 16:45:58",v0.5.12,0,5,false,,false,false,https://avatars.githubusercontent.com/u/1906800?v=4,NREL/reVX
openCEM,Capacity Expansion Model and Optimiser for the Australian National Energy Market.,openCEMorg,https://github.com/openCEMorg/openCEM.git,,Energy Modeling and Optimization,"2021/06/03, 00:58:29",14,0,1,true,Python,openCEM,openCEMorg,"Python,Dockerfile",,"2018/11/13, 03:41:55",GPL-3.0,61,346,"2021/06/03, 00:58:33",0,14,22,0,0.2,0.1179775280898876,"2021/06/03, 00:03:59",v1.1.0,0,5,false,,true,true,https://avatars.githubusercontent.com/u/44991012?v=4,
energy-py,Reinforcement learning for energy systems.,ADGEfficiency,https://github.com/ADGEfficiency/energy-py.git,"reinforcement-learning,energy",Energy Modeling and Optimization,"2021/11/19, 10:18:45",152,0,16,true,Python,openCEM,,"Python,Makefile",,"2017/04/03, 10:14:01",MIT,13,16,"2021/11/10, 19:39:10",4,16,53,1,0.1,0.0,,,0,1,false,,false,false,https://avatars.githubusercontent.com/u/44991012?v=4,
glaes,Geospatial Land Availability for Energy Systems.,FZJ-IEK3-VSA,https://github.com/FZJ-IEK3-VSA/glaes.git,"geospatial,geospatial-analysis,renewable-energy,energy,python",Energy Modeling and Optimization,"2021/11/13, 18:07:45",27,0,10,true,Python,FZJ-IEK3-VSA,FZJ-IEK3,"Python,Dockerfile",,"2017/12/20, 16:19:36",MIT,11,155,"2020/08/07, 12:36:27",4,3,4,0,0.3333333333333333,0.1015625,"2020/04/29, 12:45:38",v1.1.6,0,6,false,,false,false,https://avatars.githubusercontent.com/u/28654423?v=4,
onsset,A GIS based optimization tool that has been developed to support electrification planning and decision making for the achievement of energy access goals in currently unserved locations.,OnSSET,https://github.com/OnSSET/onsset.git,,Energy Modeling and Optimization,"2021/11/08, 11:46:35",16,0,5,true,Python,The Open Source Spatial Electrification Tool,OnSSET,"Python,Jupyter Notebook",http://www.onsset.org,"2019/05/27, 15:17:54",CUSTOM,7,730,"2021/08/24, 06:58:48",30,63,110,2,0.0,0.6858846918489065,,,0,8,false,,false,true,https://avatars.githubusercontent.com/u/57988767?v=4,
whobs-server,"This is the code for the online optimization of zero-direct-emission electricity systems with wind, solar and storage (using batteries and electrolysed hydrogen gas) to provide a baseload electricity demand, using the cost and other assumptions of your choice.",PyPSA,https://github.com/PyPSA/whobs-server.git,,Energy Modeling and Optimization,"2021/07/26, 13:41:25",23,0,3,true,Python,PyPSA,,"Python,JavaScript,HTML,CSS",,"2019/01/01, 15:58:29",AGPL-3.0,2,136,"2021/04/19, 07:51:14",9,4,10,0,0.0,0.04580152671755722,,,0,2,false,,false,false,https://avatars.githubusercontent.com/u/32890768?v=4,
CityLearn,Official reinforcement learning environment for demand response and load shaping.,intelligent-environments-lab,https://github.com/intelligent-environments-lab/CityLearn.git,,Energy Modeling and Optimization,"2021/11/22, 10:17:59",185,0,79,true,Jupyter Notebook,Intelligent Environments Laboratory,intelligent-environments-lab,"Jupyter Notebook,Python",,"2019/06/30, 02:41:48",MIT,22,153,"2021/06/15, 01:10:24",0,3,7,0,0.0,0.0,,,0,1,false,,false,false,https://avatars.githubusercontent.com/u/29540963?v=4,
rl-testbed-for-energyplus,Reinforcement Learning Testbed for Power Consumption Optimization using EnergyPlus.,IBM,https://github.com/IBM/rl-testbed-for-energyplus.git,,Energy Modeling and Optimization,"2021/11/12, 14:21:21",101,0,20,true,Python,International Business Machines,IBM,"Python,Dockerfile",,"2018/08/03, 12:38:06",MIT,25,83,"2021/11/20, 09:33:33",19,19,47,2,0.2,0.42622950819672134,,,0,6,false,,false,true,https://avatars.githubusercontent.com/u/1459110?v=4,
tsam,A Python package which uses different machine learning algorithms for the aggregation of time series.,FZJ-IEK3-VSA,https://github.com/FZJ-IEK3-VSA/tsam.git,"clustering,timeseries,energy-system,typical-periods,optimization,aggregation",Energy Modeling and Optimization,"2021/11/26, 10:38:39",81,19,17,true,Python,FZJ-IEK3-VSA,FZJ-IEK3,Python,,"2017/05/15, 08:36:11",CUSTOM,28,326,"2021/11/26, 10:38:36",1,37,60,1,0.8,0.52,"2021/11/26, 10:43:55",v2.0.0,0,9,false,,false,false,https://avatars.githubusercontent.com/u/28654423?v=4,"archgyn/porfo,FZJ-IEK3-VSA/voila-tsam,fhac-ewi/gas-wasserstoff,OfficialCodexplosive/FINE-GL,znes/oemof-barbados,samuelduchesne/energy-pandas,louisleroy5/trnslator,sbruche/aristopy,andreharewood/open_source_barbados_pub,znes/angus-scenarios,FZJ-IEK3-VSA/tsib,samuelduchesne/archetypal,znes/carpeDIEM,ZNES-datapackages/Status-quo-2015,oemof/oemof-tabular,ZNES-datapackages/100-sea-2050,openego/eGo,FZJ-IEK3-VSA/FINE,openego/eTraGo"
TimeSeriesClustering,"Provides simple integration of multi-dimensional time-series data (e.g. multiple attributes such as wind availability, solar availability, and electricity demand) in a single aggregation process.",holgerteichgraeber,https://github.com/holgerteichgraeber/TimeSeriesClustering.jl.git,"clustering,optimization,energy-systems,k-means-clustering,k-medoids-clustering,hierarchical-clustering,representative-days,time-series-aggregation,julia",Energy Modeling and Optimization,"2021/10/26, 04:16:17",55,0,10,true,Julia,FZJ-IEK3-VSA,,"Julia,TeX",,"2018/09/19, 22:59:26",MIT,0,565,"2021/01/20, 11:19:21",15,78,116,2,0.7,0.3955773955773956,"2019/09/10, 08:02:20",v0.5.3,0,7,false,,false,true,https://avatars.githubusercontent.com/u/28654423?v=4,
MESSAGEix,"A versatile, dynamic systems-optimization modeling framework developed by the IIASA Energy, Climate, and Environment (ECE) Program since the 1980s.",iiasa,https://github.com/iiasa/message_ix.git,"energy-system,strategic-planning,integrated-assessment,integrated-assessment-model,gams,open-source",Energy Modeling and Optimization,"2021/11/15, 10:24:43",64,0,21,true,Jupyter Notebook,IIASA,iiasa,"Jupyter Notebook,GAMS,Python,R,Dockerfile",https://docs.messageix.org,"2017/12/04, 08:29:06",CUSTOM,208,844,"2021/11/22, 08:23:14",99,274,405,16,1.9,0.41246684350132623,"2021/05/28, 11:54:37",v3.3.0,3,20,false,,false,false,https://avatars.githubusercontent.com/u/15230149?v=4,
GridPath,A versatile simulation and optimization platform for power-system planning and operations.,blue-marble,https://github.com/blue-marble/gridpath.git,"energy,electricity,power,renewables,renewable-energy,planning,power-systems,power-system-simulation,power-system-analysis,optimization",Energy Modeling and Optimization,"2021/11/24, 02:31:36",33,0,28,true,Python,Blue Marble Analytics,blue-marble,"Python,TypeScript,HTML,JavaScript,CSS",https://www.gridpath.io,"2016/08/12, 18:13:28",Apache-2.0,60,1244,"2021/11/24, 02:31:33",54,572,795,4,0.0,0.23490488006617039,"2021/10/19, 22:51:36",v0.11.0,0,5,false,,false,false,https://avatars.githubusercontent.com/u/22780527?v=4,
Peaky Finders,A Plotly Dash application with helpful peak load visualizations and a day ahead forecasting model for five different ISOs.,kbaranko,https://github.com/kbaranko/peaky-finders.git,,Energy Modeling and Optimization,"2021/11/04, 05:31:36",14,0,12,true,Python,Blue Marble Analytics,,Python,,"2020/01/04, 01:27:52",Apache-2.0,93,173,"2021/07/27, 02:17:04",8,13,13,8,0.0,0.0,,,0,1,false,,false,false,https://avatars.githubusercontent.com/u/22780527?v=4,
Renewcast,"Forecasting renewable energy generation in EU countries with machine learning algorithms, based on Streamlit and sktime.",derevirn,https://github.com/derevirn/renewcast.git,"time-series,renewable-energy,machine-learning,streamlit,time-series-forecasting",Energy Modeling and Optimization,"2021/10/31, 19:19:58",14,0,13,true,Jupyter Notebook,Blue Marble Analytics,,"Jupyter Notebook,Python,Shell",https://renewcast.herokuapp.com/,"2020/08/08, 20:43:09",Apache-2.0,3,21,"2021/07/27, 02:17:04",0,0,0,0,0,0.0,,,0,1,false,,false,false,https://avatars.githubusercontent.com/u/22780527?v=4,
ANDES,Power system transient dynamics simulation with symbolic modeling and numerical analysis.,cuihantao,https://github.com/cuihantao/andes.git,"simulation,analysis,package,powerflow,timedomain,small-signal,toolbox,tool,library,modeling-dae,eigenvalue-analysis,andes,power-system,power-system-simulation,power-system-analysis,power-system-dynamics",Energy Modeling and Optimization,"2021/11/26, 22:58:15",102,2,47,true,Python,Blue Marble Analytics,,"Python,Shell,Dockerfile",,"2016/11/07, 01:04:50",CUSTOM,921,3420,"2021/11/26, 22:58:11",5,163,192,0,0.0,0.06527501656726309,"2021/10/29, 04:15:40",v1.5.2,0,10,false,,true,true,https://avatars.githubusercontent.com/u/22780527?v=4,"CURENT/andes_addon,cuihantao/andes"
REISE.jl,Renewable Energy Integration Simulation Engine.,Breakthrough-Energy,https://github.com/Breakthrough-Energy/REISE.jl.git,,Energy Modeling and Optimization,"2021/11/12, 12:22:31",13,0,12,true,Julia,Breakthrough Energy,Breakthrough-Energy,"Julia,Python,Dockerfile",https://breakthrough-energy.github.io/docs/,"2020/01/17, 22:41:38",MIT,120,328,"2021/11/01, 17:24:43",11,117,150,1,10.0,0.3745583038869258,"2021/06/14, 21:09:55",v0.2.1,0,8,false,,false,false,https://avatars.githubusercontent.com/u/68243594?v=4,
ESDL,A modelling language created for the components in an energy system and their relations towards each other.,EnergyTransition,https://github.com/EnergyTransition/ESDL.git,"esdl,energy,energy-transition,energy-transition-calculation,dsl,description-language,language,energy-information,interoperability",Energy Modeling and Optimization,"2021/11/19, 16:37:40",9,0,3,true,Java,,EnergyTransition,"Java,Shell",,"2018/06/08, 11:40:18",Apache-2.0,32,224,"2021/09/08, 16:03:21",15,3,6,0,0.0,0.5102040816326531,"2019/05/03, 14:06:34",v1905,0,6,false,,false,false,https://avatars.githubusercontent.com/u/40061405?v=4,
Transactive Energy Service System,"A platform to design, deploy, and operate transactive energy systems in electric utility retail environments.",slacgismo,https://github.com/slacgismo/TESS.git,,Energy Modeling and Optimization,"2021/11/13, 08:44:32",9,0,5,true,Python,slacgismo,SLAC GISMo,"Python,Jupyter Notebook,JavaScript,CSS,C,Objective-C,Ruby,HTML,Java,Starlark,Mako,Shell",,"2019/07/16, 13:50:17",GPL-3.0,94,353,"2021/11/13, 05:47:06",28,107,118,24,0.3,0.7018181818181819,,,0,9,false,,false,false,https://avatars.githubusercontent.com/u/19895500?v=4,
Minpower,An open source toolkit for students and researchers in power systems.,adamgreenhall,https://github.com/adamgreenhall/minpower.git,,Energy Modeling and Optimization,"2021/11/17, 13:09:08",62,1,8,true,Python,slacgismo,,"Python,Shell,Makefile",adamgreenhall.github.io/minpower,"2011/04/04, 18:50:48",GPL-3.0,29,886,"2021/07/21, 22:51:29",4,6,20,1,0.0,0.0,"2021/07/21, 22:52:05",v5.0.1,0,1,false,,false,false,https://avatars.githubusercontent.com/u/19895500?v=4,illacceptanything/illacceptanything
OpenEMS,Open Source Energy Management System.,OpenEMS,https://github.com/OpenEMS/openems.git,"climatechange,energy-management,photovoltaics,energy-storage,electric-vehicle-charging-station,heatpump",Energy Monitoring and Control,"2021/11/26, 01:50:52",233,0,92,true,Java,OpenEMS,OpenEMS,"Java,HTML,TypeScript,Shell,SCSS,JavaScript,Dockerfile",,"2016/10/16, 14:57:33",CUSTOM,308,5085,"2021/11/18, 21:31:37",66,1515,1608,39,0.3,0.3217716115261473,"2021/11/18, 22:24:25",2021.20.0,0,36,false,,false,false,https://avatars.githubusercontent.com/u/20765902?v=4,
eemeter,An open source Python package for implementing and developing standard methods for calculating normalized metered energy consumption and avoided energy use.,openeemeter,https://github.com/openeemeter/eemeter.git,"energy,efficiency,energy-data,energy-efficiency,building-energy",Energy Monitoring and Control,"2021/11/22, 13:16:58",153,10,27,true,Python,OpenEEmeter,openeemeter,"Python,Shell,Dockerfile",http://eemeter.openee.io/,"2016/08/19, 23:54:36",Apache-2.0,17,2243,"2021/07/09, 20:43:13",9,393,424,6,0.2,0.295625,"2017/06/30, 18:52:07",v1.0.0,0,26,false,,true,true,https://avatars.githubusercontent.com/u/19336002?v=4,"illacceptanything/illacceptanything,brandonwillard/amimodels,buds-lab/the-building-data-genome-project,impactlab/oeem-uploader,impactlab/oeem-energy-datastore,impactlab/oeem-etl-fake-projects,james-prior/epathermostat-sandbox,impactlab/thermostat,impactlab/oeem-etl,EPAENERGYSTAR/epathermostat"
OperatorFabric,"A modular, extensible, industrial-strength and field-tested platform for use in electricity, water and other utility operations.",opfab,https://github.com/opfab/operatorfabric-core.git,"energy,platform,collaboration,linux-foundation,hypervision,alerting",Energy Monitoring and Control,"2021/11/26, 17:41:54",27,0,8,true,Java,OperatorFabric,opfab,"Java,TypeScript,Gherkin,Handlebars,HTML,Mustache,JavaScript,Shell,SCSS,CSS,Dockerfile,Scala",https://opfab.github.io,"2018/09/27, 09:36:25",MPL-2.0,1201,4193,"2021/11/26, 17:41:52",123,1601,2001,6,0.1,0.7797960484384958,"2021/11/09, 15:54:24",3.0.2.RELEASE,9,29,false,,false,true,https://avatars.githubusercontent.com/u/43637906?v=4,
energy-sparks,An open source application that is designed to help schools improve their energy efficiency.,Energy-Sparks,https://github.com/Energy-Sparks/energy-sparks.git,"energy,bath,school,rails,ruby,ruby-on-rails,data",Energy Monitoring and Control,"2021/11/26, 09:13:11",16,0,2,true,Ruby,Energy Sparks,Energy-Sparks,"Ruby,HTML,JavaScript,SCSS,Shell",http://www.energysparks.uk,"2016/08/16, 16:26:52",MIT,1135,7335,"2021/11/23, 17:09:10",0,1436,1629,0,0.7,0.540681362725451,,,0,8,false,,false,true,https://avatars.githubusercontent.com/u/66954989?v=4,
